Country,Player,Mins,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
Canada,Kyle Hiebert,7,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.07777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Liam Fraser,592,0,1,0,0,3.0,2.0,4,0,0.0,0.0,6.5777777777777775,0.0,0.15202702702702703,0.4560810810810811,0.30405405405405406,0.6081081081081081,0.0,0.0,0.0
Canada,Liam Millar,1214,1,2,0,0,8.0,5.0,1,0,0.0,0.0,13.488888888888889,0.07413509060955518,0.14827018121911037,0.5930807248764415,0.37067545304777594,0.07413509060955518,0.0,0.0,0.0
Canada,Luc De Fougerolles,577,0,0,0,0,1.0,0.0,3,0,0.0,0.0,6.411111111111111,0.0,0.0,0.1559792027729636,0.0,0.4679376083188908,0.0,0.0,0.0
Canada,Lucas Cavallini,966,7,2,1,1,16.0,5.0,6,0,0.0,0.0,10.733333333333333,0.6521739130434783,0.1863354037267081,1.4906832298136647,0.46583850931677023,0.5590062111801243,0.0,0.0,0.0
Canada,Lukas MacNaughton,20,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Mark-Anthony Kaye,1333,2,4,0,1,6.0,0.0,5,1,0.0,0.0,14.811111111111112,0.1350337584396099,0.2700675168792198,0.40510127531882967,0.0,0.33758439609902474,0.06751687921980495,0.0,0.0
Canada,Mathieu Choiniere,708,0,1,0,0,1.0,1.0,2,0,0.0,0.0,7.866666666666666,0.0,0.1271186440677966,0.1271186440677966,0.1271186440677966,0.2542372881355932,0.0,0.0,0.0
Canada,Maxime Crépeau,1890,0,0,0,0,0.0,0.0,1,0,16.0,25.0,21.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.7619047619047619,1.1904761904761905
Canada,Milan Borjan,2070,0,0,0,0,0.0,0.0,0,0,21.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.5652173913043478
Canada,Moïse Bombito,1234,0,1,0,0,5.0,0.0,3,0,0.0,0.0,13.71111111111111,0.0,0.07293354943273907,0.3646677471636953,0.0,0.2188006482982172,0.0,0.0,0.0
Canada,Nathan Saliba,397,2,0,0,0,4.0,2.0,0,0,0.0,0.0,4.411111111111111,0.4534005037783375,0.0,0.906801007556675,0.4534005037783375,0.0,0.0,0.0,0.0
Canada,Niko Sigur,673,2,1,0,0,1.0,1.0,2,0,0.0,0.0,7.477777777777778,0.2674591381872214,0.1337295690936107,0.1337295690936107,0.1337295690936107,0.2674591381872214,0.0,0.0,0.0
Canada,Promise David,142,1,0,0,0,5.0,1.0,1,0,0.0,0.0,1.5777777777777777,0.6338028169014085,0.0,3.1690140845070425,0.6338028169014085,0.6338028169014085,0.0,0.0,0.0
Canada,Raheem Edwards,58,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.6444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Ricardo Ferreira,90,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Richie Laryea,3671,1,3,0,0,11.0,1.0,9,0,0.0,0.0,40.78888888888889,0.02451648052301825,0.07354944156905475,0.2696812857532008,0.02451648052301825,0.22064832470716425,0.0,0.0,0.0
Canada,Sam Adekugbe,1408,1,3,0,0,0.0,0.0,3,0,0.0,0.0,15.644444444444444,0.06392045454545454,0.19176136363636365,0.0,0.0,0.19176136363636365,0.0,0.0,0.0
Canada,Samuel Piette,780,0,0,0,0,2.0,0.0,1,0,0.0,0.0,8.666666666666666,0.0,0.0,0.23076923076923078,0.0,0.11538461538461539,0.0,0.0,0.0
Canada,Scott Kennedy,644,0,0,0,0,0.0,0.0,0,0,0.0,0.0,7.155555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Stephen Afrifa,15,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Stephen Eustáquio,2965,3,3,0,0,12.0,5.0,5,0,0.0,0.0,32.94444444444444,0.09106239460370995,0.09106239460370995,0.3642495784148398,0.15177065767284992,0.15177065767284992,0.0,0.0,0.0
Canada,Steven Vitória,2266,2,0,1,1,7.0,4.0,11,0,0.0,0.0,25.177777777777777,0.0794351279788173,0.0,0.2780229479258606,0.1588702559576346,0.4368932038834952,0.0,0.0,0.0
Canada,Tajon Buchanan,2669,7,6,0,0,24.0,7.0,5,0,0.0,0.0,29.655555555555555,0.23604346197077558,0.20232296740352193,0.8092918696140877,0.23604346197077558,0.16860247283626828,0.0,0.0,0.0
Canada,Tani Oluwaseyi,650,1,1,0,0,18.0,6.0,3,0,0.0,0.0,7.222222222222222,0.13846153846153847,0.13846153846153847,2.4923076923076923,0.8307692307692307,0.41538461538461535,0.0,0.0,0.0
Canada,Tesho Akindele,89,0,0,0,0,2.0,1.0,1,0,0.0,0.0,0.9888888888888889,0.0,0.0,2.0224719101123596,1.0112359550561798,1.0112359550561798,0.0,0.0,0.0
Canada,Theo Bair,41,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.45555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Theo Corbeanu,173,2,0,0,0,2.0,2.0,0,0,0.0,0.0,1.9222222222222223,1.0404624277456647,0.0,1.0404624277456647,1.0404624277456647,0.0,0.0,0.0,0.0
Canada,Tyler Pasher,31,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.34444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Victor Loturi,22,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.24444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Zac McGraw,307,0,0,0,0,2.0,0.0,2,0,0.0,0.0,3.411111111111111,0.0,0.0,0.5863192182410424,0.0,0.5863192182410424,0.0,0.0,0.0
Canada,Zachary Brault-Guillard,108,1,0,0,0,0.0,0.0,0,0,0.0,0.0,1.2,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Zorhan Bassong,133,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.4777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
