Country,Player,Mins,Gls,Ast,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
Argentina,Joaquín Correa,596,3,0,0,0,17.0,10.0,1.0,1,0,4.0,0.0,6.622222222222222,0.4530201342281879,0.0,2.567114093959732,1.51006711409396,0.1510067114093959,0.0,0.6040268456375839,0.0
Argentina,José Manuel López,62,0,1,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.6888888888888889,0.0,1.4516129032258065,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,Juan Foyth,360,0,0,0,0,2.0,0.0,2.0,0,0,4.0,0.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
Argentina,Juan Musso,90,0,0,0,0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Argentina,Julián Álvarez,2940,12,3,0,0,46.0,25.0,19.0,2,0,24.0,0.0,32.666666666666664,0.3673469387755102,0.0918367346938775,1.4081632653061225,0.7653061224489797,0.0612244897959183,0.0,0.7346938775510204,0.0
Argentina,Lautaro Martínez,3257,25,7,1,1,94.0,41.0,20.0,3,0,27.0,0.0,36.18888888888889,0.6908197727970525,0.1934295363831747,2.597482345716917,1.132944427387166,0.0828983727356462,0.0,0.7460853546208167,0.0
Argentina,Lautaro Rivero,45,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,Leandro Paredes,2918,2,3,0,1,23.0,6.0,51.0,11,0,24.0,0.0,32.422222222222224,0.0616860863605209,0.0925291295407813,0.7093899931459904,0.1850582590815627,0.339273474982865,0.0,0.7402330363262508,0.0
Argentina,Leonardo Balerdi,433,0,0,0,0,0.0,0.0,1.0,1,0,5.0,0.0,4.811111111111111,0.0,0.0,0.0,0.0,0.207852193995381,0.0,1.039260969976905,0.0
Argentina,Lionel Messi,4784,44,17,9,10,173.0,71.0,21.0,1,0,24.0,0.0,53.15555555555556,0.8277591973244147,0.3198160535117056,3.254598662207357,1.3357023411371236,0.0188127090301003,0.0,0.451505016722408,0.0
Argentina,Lisandro Martínez,1768,1,0,0,0,11.0,3.0,13.0,3,0,12.0,0.0,19.64444444444445,0.0509049773755656,0.0,0.5599547511312217,0.1527149321266968,0.1527149321266968,0.0,0.6108597285067873,0.0
Argentina,Lucas Alario,23,0,0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.2555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,3.91304347826087,0.0
Argentina,Lucas Boyé,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,Lucas Martínez Quarta,695,0,0,0,0,5.0,0.0,14.0,2,0,6.0,0.0,7.722222222222222,0.0,0.0,0.6474820143884892,0.0,0.2589928057553957,0.0,0.776978417266187,0.0
Argentina,Lucas Ocampos,367,0,0,0,0,5.0,1.0,4.0,1,0,4.0,0.0,4.0777777777777775,0.0,0.0,1.226158038147139,0.2452316076294278,0.2452316076294278,0.0,0.9809264305177112,0.0
Argentina,Marcos Acuña,2170,0,1,0,0,11.0,3.0,34.0,6,0,15.0,0.0,24.11111111111111,0.0,0.0414746543778801,0.456221198156682,0.1244239631336405,0.2488479262672811,0.0,0.6221198156682027,0.0
Argentina,Marcos Senesi,119,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.3222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,Maximiliano Meza,33,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.3666666666666666,0.0,0.0,2.7272727272727275,0.0,0.0,0.0,0.0,0.0
Argentina,Nahuel Molina,3979,1,4,0,0,5.0,3.0,49.0,3,0,25.0,0.0,44.21111111111111,0.0226187484292535,0.0904749937170143,0.1130937421462679,0.0678562452877607,0.0678562452877607,0.0,0.5654687107313395,0.0
Argentina,Nehuén Pérez,132,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,Nicolás Domínguez,72,0,0,0,0,1.0,0.0,1.0,1,0,3.0,0.0,0.8,0.0,0.0,1.25,0.0,1.25,0.0,3.75,0.0
Argentina,Nicolás González,2422,6,6,0,0,38.0,17.0,24.0,3,1,14.0,0.0,26.91111111111111,0.2229562345169281,0.2229562345169281,1.412056151940545,0.6317093311312965,0.111478117258464,0.037159372419488,0.5202312138728323,0.0
Argentina,Nicolás Otamendi,4546,3,1,0,0,18.0,4.0,47.0,11,1,27.0,0.0,50.51111111111111,0.0593928728552573,0.0197976242850857,0.3563572371315442,0.0791904971403431,0.2177738671359436,0.0197976242850857,0.5345358556973163,0.0
