Country,Player,Mins,Gls,Ast,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
United States,Diego Luna,775,3,3,0,0,10.0,5.0,3.0,2,0,17.0,0.0,8.61111111111111,0.34838709677419355,0.34838709677419355,1.1612903225806452,0.5806451612903226,0.23225806451612904,0.0,1.974193548387097,0.0
United States,Djordje Mihailovic,376,2,2,0,0,7.0,2.0,2.0,0,0,4.0,0.0,4.177777777777778,0.4787234042553191,0.4787234042553191,1.675531914893617,0.4787234042553191,0.0,0.0,0.9574468085106382,0.0
United States,Donovan Pines,76,0,0,0,0,0.0,0.0,2.0,0,0,0.0,0.0,0.8444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,Emeka Eneli,116,0,1,0,0,0.0,0.0,0.0,0,0,1.0,0.0,1.288888888888889,0.0,0.7758620689655172,0.0,0.0,0.0,0.0,0.7758620689655172,0.0
United States,Emmanuel Sabbi,26,0,0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.28888888888888886,0.0,0.0,0.0,0.0,3.4615384615384617,0.0,0.0,0.0
United States,Erik Palmer-Brown,11,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.12222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,Eryk Williamson,78,0,0,0,0,0.0,0.0,0.0,0,0,2.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.3076923076923075,0.0
United States,Ethan Horvath,135,0,0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
United States,Folarin Balogun,857,6,3,0,0,5.0,2.0,1.0,1,0,18.0,0.0,9.522222222222222,0.6301050175029171,0.31505250875145857,0.5250875145857643,0.21003500583430573,0.10501750291715287,0.0,1.8903150525087515,0.0
United States,Gaga Slonina,90,0,0,0,0,0.0,0.0,0.0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
United States,George Bello,218,0,0,0,0,0.0,0.0,0.0,0,0,2.0,0.0,2.422222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.8256880733944955,0.0
United States,George Campbell,87,0,0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0
United States,Gianluca Busio,682,1,2,0,0,16.0,5.0,4.0,0,0,8.0,0.0,7.5777777777777775,0.13196480938416422,0.26392961876832843,2.1114369501466275,0.6598240469208211,0.0,0.0,1.0557184750733137,0.0
United States,Gio Reyna,738,2,0,0,0,3.0,0.0,8.0,0,0,19.0,0.0,8.2,0.24390243902439027,0.0,0.3658536585365854,0.0,0.0,0.0,2.3170731707317076,0.0
United States,Gyasi Zardes,282,0,0,0,0,1.0,0.0,0.0,0,0,4.0,0.0,3.1333333333333333,0.0,0.0,0.3191489361702128,0.0,0.0,0.0,1.2765957446808511,0.0
United States,Haji Wright,484,5,1,1,1,8.0,4.0,2.0,0,0,19.0,0.0,5.377777777777778,0.9297520661157024,0.1859504132231405,1.487603305785124,0.743801652892562,0.0,0.0,3.5330578512396693,0.0
United States,Henry Kessler,90,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,Indiana Vassilev,86,0,0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.9555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0465116279069766,0.0
United States,Jack McGlynn,422,2,2,0,0,3.0,0.0,2.0,1,0,11.0,0.0,4.688888888888889,0.42654028436018954,0.42654028436018954,0.6398104265402843,0.0,0.21327014218009477,0.0,2.3459715639810423,0.0
United States,Jackson Yueill,45,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,Jalen Neal,409,0,0,0,0,2.0,0.0,3.0,1,0,5.0,0.0,4.544444444444444,0.0,0.0,0.4400977995110025,0.0,0.22004889975550124,0.0,1.1002444987775062,0.0
