Country,Date,Player,Mins,Pos,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
England,2021-06-02,Jordan Pickford,90,GK,0,0,0,0,,,0,0,0,,,NA,0
England,2021-06-06,Dominic Calvert-Lewin,81,FW,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Ollie Watkins,9,"FW,MF",0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Jadon Sancho,64,FW,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Jude Bellingham,26,MF,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Marcus Rashford,74,FW,1,0,1,1,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Jesse Lingard,16,"FW,MF",0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,James Ward-Prowse,64,CM,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Declan Rice,26,"DF,MF",0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Jack Grealish,90,CM,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Kalvin Phillips,45,DM,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Jordan Henderson,45,MF,0,0,0,1,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Luke Shaw,74,LB,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Kieran Trippier,16,"DF,MF",0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Tyrone Mings,90,CB,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Ben White,90,CB,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Ben Godfrey,90,RB,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Sam Johnstone,90,GK,0,0,0,0,,,0,0,0,,,NA,0
England,2021-06-13,Harry Kane,81,FW,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-06-13,Jude Bellingham,9,AM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-13,Raheem Sterling,89,LW,1,0,0,0,3,1,0,0,NA,NA,NA,NA,NA
England,2021-06-13,Dominic Calvert-Lewin,1,FW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-13,Phil Foden,70,RW,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA
England,2021-06-13,Marcus Rashford,20,"RM,FW,LW",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-13,Mason Mount,90,"LM,RW",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-06-13,Declan Rice,90,"CM,DM",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-13,Kalvin Phillips,90,"RM,DM",0,1,0,0,1,1,0,0,NA,NA,NA,NA,NA
England,2021-06-13,Kieran Trippier,90,LB,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
