Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
Egypt,2021-10-11,Amro El Soulia,63,DM,0,0,,0,0,,,,0,0,0,,NA,NA,NA,NA
Egypt,2021-10-11,Hamdy Fathy,27,MF,0,0,,0,0,,,,0,0,0,,NA,NA,NA,NA
Egypt,2021-10-11,Ahmed Aboul-Fotouh,90,LB,1,0,,0,0,,,,1,0,0,,NA,NA,NA,NA
Egypt,2021-10-11,El Wensh,90,CB,0,0,,0,0,,,,1,0,0,,NA,NA,NA,NA
Egypt,2021-10-11,Ahmed Hegazi,90,CB,0,0,,0,0,,,,0,0,0,,NA,NA,NA,NA
Egypt,2021-10-11,Akram Tawfik,74,RB,0,0,,0,0,,,,1,0,0,,NA,NA,NA,NA
Egypt,2021-10-11,Baher El Mohamady,16,DF,0,0,,0,0,,,,0,0,0,,NA,NA,NA,NA
Egypt,2021-10-11,Mohamed El-Shenawy,25,GK,0,0,,0,0,,,,0,0,0,,,,NA,0
Egypt,2021-10-11,Gabaski,65,GK,0,0,,0,0,,,,0,0,0,,,,NA,0
Egypt,2021-11-12,Mostafa Mohamed,45,FW,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Hamdy Fathy,45,MF,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Mohamed Sherif,81,AM,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Ahmed Yasser Rayan,9,FW,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Abdallah Said,45,AM,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Marwan Hamdy,45,FW,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Mohamed Salah,90,AM,0,2,,0,0,,,,0,0,0,2,NA,NA,NA,NA
