Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Colombia,2021-06-03,Luis Muriel,71,FW,0,0,,0,0,2,1,1,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Rafael Borré,19,FW,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Luis Díaz,55,LM,1,0,,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Yairo Moreno,35,"DF,FW",0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Mateus Uribe,71,CM,1,0,,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Miguel Borja,19,FW,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Gustavo Cuellar,90,CM,0,0,,0,0,0,0,5,1,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Juan Cuadrado,90,RM,0,0,,0,0,2,0,1,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,William Tesillo,90,LB,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Davinson Sánchez,90,CB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Yerry Mina,90,CB,1,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Stefan Medina,55,RB,0,1,,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,Daniel Muñoz,3,"DF,MF",0,0,,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-03,David Ospina,90,GK,0,0,,0,0,0,0,0,1,0,0,0,2,100.0,0,NA,0
Colombia,2021-06-08,Luis Díaz,45,FW,0,0,,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Edwin Cardona,45,"FW,MF",0,0,,0,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Duván Zapata,45,FW,0,0,,0,0,1,0,0,1,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Miguel Borja,45,FW,1,0,,0,0,3,2,0,1,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Juan Cuadrado,90,FW,0,1,,0,0,0,0,2,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Jefferson Lerma,29,CM,0,0,,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Luis Muriel,61,FW,1,0,,1,1,4,1,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Gustavo Cuellar,45,CM,0,0,,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Wílmar Barrios,45,MF,0,0,,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Mateus Uribe,90,CM,0,0,,0,0,1,0,1,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,William Tesillo,90,LB,0,0,,0,0,1,1,1,1,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Davinson Sánchez,90,CB,0,0,,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Yerry Mina,90,CB,0,0,,0,0,1,1,0,1,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Stefan Medina,74,RB,0,0,,0,0,0,0,0,1,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,Yairo Moreno,16,"DF,FW",0,0,,0,0,0,0,2,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-08,David Ospina,90,GK,0,0,,0,0,0,0,0,0,0,0,2,6,75.0,0,NA,0
Argentina,2021-06-08,Nicolás González,64,FW,0,1,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Juan Foyth,26,DF,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Lautaro Martínez,90,FW,0,0,,0,0,4,3,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Lionel Messi,90,FW,0,0,,0,0,3,3,1,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Giovani Lo Celso,53,CM,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Exequiel Palacios,37,"DF,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Leandro Paredes,90,CM,1,0,,0,0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Rodrigo De Paul,90,CM,0,1,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
