Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Canada,2021-06-08,Sam Adekugbe,9,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Cyle Larin,65,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Lucas Cavallini,25,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Jonathan Osorio,65,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Mark-Anthony Kaye,25,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Stephen Eustáquio,90,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Samuel Piette,90,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Richie Laryea,80,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Tajon Buchanan,10,"DF,FW",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Scott Kennedy,90,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Doneil Henry,90,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Alistair Johnston,90,RB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-08,Milan Borjan,90,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Canada,2021-06-12,Cyle Larin,77,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Doneil Henry,13,DF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Jonathan Osorio,81,FW,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Samuel Piette,9,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Jonathan David,80,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Lucas Cavallini,10,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Alphonso Davies,90,LM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
