Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Germany,2021-06-02,Jonas Hofmann,5,Denmark,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Serge Gnabry,78,Denmark,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Kevin Volland,12,Denmark,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Robin Gosens,78,Denmark,LM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Christian Günter,12,Denmark,"DF,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Joshua Kimmich,90,Denmark,CM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Florian Neuhaus,90,Denmark,CM,1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Lukas Klostermann,58,Denmark,RM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Robin Koch,32,Denmark,"DF,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Matthias Ginter,90,Denmark,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Mats Hummels,90,Denmark,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Niklas Süle,90,Denmark,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-02,Manuel Neuer,90,Denmark,GK,0,0,,0,0,,,,0,0,0,1,,,0,NA,0
Germany,2021-06-07,Thomas Müller,75,Latvia,FW,1,1,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Jamal Musiala,15,Latvia,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Serge Gnabry,45,Latvia,FW,1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Leroy Sané,45,Latvia,"FW,MF",1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Kai Havertz,45,Latvia,FW,0,1,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Timo Werner,45,Latvia,"FW,MF",1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Robin Gosens,60,Latvia,LM,1,1,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Christian Günter,30,Latvia,"DF,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,İlkay Gündoğan,60,Latvia,CM,1,0,,0,0,,,,1,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Emre Can,30,Latvia,"DF,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Toni Kroos,90,Latvia,CM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Joshua Kimmich,90,Latvia,RM,0,1,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Antonio Rüdiger,60,Latvia,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-07,Niklas Süle,30,Latvia,DF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
